,SIRE,AVERAGE_SPEED_furlongs_a_second,OFFSPRING
8,Rule by Night,0.07403618350204609,['Helen by Night']
149,Grey Swallow,0.07739938080495357,['Lovedisc']
5,Archarcharch,0.0788281832253626,['Ghostghostghost']
93,Courageous Cat,0.07907332044024955,['Driftwood']
104,The Lumber Guy,0.07963282695106294,['Smokin Hot Kiss']
52,Karakontie,0.07966857871255577,['Torres Del Paine']
143,Micromanage,0.07991737584193662,['Managing Risk' 'Manage My Credit']
146,Medaglia d'Oro,0.08020716364553017,['Americano Girl']
99,Midas Touch (GB),0.08021500780689775,['Sir Ludlow']
105,Bellamy Road,0.08052534045126583,['Barker Lane' 'Determined Force' 'Stuy Town Baby' 'Bellamy Bigs']
